ts,host_cpu_pct,mem_used_mb,backend_cpu,backend_rss_mb,backend_procs,mock_cpu,harness_cpu,pg_cpu,front_cpu,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_lock_waits
1785356300.497,2.3,2621,0.0,1359,4,0.0,0.0,0.0,0.0,29,1,28,0,0
1785356302.546,31.1,2710,0.0,1359,4,0.0,0.0,2.0,1.0,34,4,16,14,0
1785356305.165,93.6,3126,177.0,1361,4,0.0,97.0,17.0,25.0,37,8,10,19,0
1785356307.383,97.3,3341,320.0,1363,4,0.0,28.0,55.0,21.0,47,8,16,23,2
1785356309.871,91.1,3489,301.0,1367,4,2.0,20.0,26.0,14.0,60,10,25,25,0
1785356311.809,86.7,3691,347.0,1380,4,0.0,20.0,47.0,3.0,60,7,26,27,0
1785356313.973,85.6,3739,336.0,1408,4,0.0,14.0,46.0,9.0,58,4,29,25,0
1785356315.940,84.3,3787,353.0,1439,4,1.0,15.0,37.0,4.0,58,8,26,24,0
1785356318.274,86.6,3845,287.0,1465,4,1.0,11.0,54.0,3.0,70,9,18,43,2
1785356320.451,89.5,3968,332.0,1474,4,9.0,13.0,66.0,3.0,69,11,28,30,0
1785356322.545,88.3,4063,311.0,1484,4,7.0,19.0,97.0,5.0,69,4,32,33,0
1785356324.787,88.9,4114,314.0,1489,4,4.0,19.0,93.0,4.0,65,5,27,33,0
1785356327.106,89.8,4159,325.0,1492,4,0.0,12.0,65.0,3.0,65,5,17,43,1
1785356329.345,88.4,4193,347.0,1494,4,3.0,15.0,84.0,5.0,65,4,32,29,2
1785356331.583,87.7,4156,337.0,1494,4,5.0,16.0,69.0,7.0,61,6,27,28,1
1785356333.933,88.9,4145,331.0,1495,4,7.0,27.0,74.0,5.0,62,1,19,42,0
1785356336.012,89.7,4188,322.0,1497,4,2.0,15.0,70.0,3.0,64,4,22,38,0
1785356338.098,86.3,4220,322.0,1501,4,2.0,18.0,70.0,3.0,63,6,34,23,0
1785356340.608,83.7,4228,336.0,1502,4,5.0,18.0,56.0,5.0,60,5,19,36,2
1785356342.705,83.6,4244,375.0,1505,4,6.0,25.0,43.0,4.0,61,7,25,29,2
1785356344.944,89.9,4301,297.0,1505,4,1.0,20.0,57.0,7.0,65,6,27,32,0
1785356347.220,85.9,4362,321.0,1507,4,0.0,16.0,68.0,8.0,65,6,24,35,1
1785356349.353,86.7,4406,353.0,1508,4,0.0,17.0,72.0,6.0,67,12,35,20,5
1785356351.604,89.8,4378,294.0,1509,4,2.0,9.0,62.0,3.0,67,9,25,33,3
1785356354.044,89.9,4422,340.0,1526,4,1.0,15.0,75.0,6.0,67,8,29,30,0
1785356356.369,88.2,4389,366.0,1530,4,2.0,11.0,74.0,5.0,68,5,29,34,0
1785356358.504,86.8,4393,373.0,1530,4,1.0,11.0,46.0,7.0,73,12,26,35,3
1785356360.707,87.3,4462,329.0,1530,4,3.0,9.0,77.0,5.0,67,7,28,32,1
1785356363.117,88.1,4449,321.0,1530,4,5.0,22.0,73.0,5.0,65,3,29,33,2
1785356365.208,91.4,4475,332.0,1530,4,1.0,17.0,81.0,7.0,65,3,35,27,1
1785356367.437,83.7,4481,334.0,1530,4,2.0,15.0,75.0,6.0,65,4,27,34,1
1785356369.615,87.7,4481,317.0,1530,4,4.0,16.0,68.0,3.0,65,2,35,28,0
1785356371.725,86.2,4525,344.0,1530,4,1.0,22.0,39.0,7.0,65,6,20,39,0
1785356374.049,87.9,4584,301.0,1530,4,1.0,15.0,78.0,8.0,65,2,25,38,0
1785356376.132,89.9,4650,349.0,1530,4,2.0,19.0,54.0,5.0,65,3,29,33,0
1785356378.485,87.1,4671,335.0,1530,4,3.0,11.0,71.0,0.0,62,3,33,26,0
1785356380.745,84.4,4693,357.0,1530,4,1.0,16.0,89.0,3.0,62,6,19,37,0
1785356383.008,91.1,4747,305.0,1530,4,3.0,17.0,69.0,6.0,62,3,30,29,0
1785356385.202,89.6,4770,311.0,1531,4,0.0,14.0,67.0,4.0,62,4,29,29,0
1785356387.489,85.4,4721,342.0,1531,4,1.0,11.0,74.0,7.0,56,1,32,23,0
1785356389.489,92.7,4735,308.0,1531,4,2.0,19.0,49.0,6.0,53,1,40,12,0
1785356391.664,81.4,4708,160.0,1531,4,3.0,18.0,34.0,9.0,53,1,37,15,0
1785356393.721,81.4,4742,270.0,1531,4,0.0,9.0,23.0,6.0,53,1,36,16,0
1785356395.603,85.8,4776,171.0,1531,4,0.0,24.0,28.0,9.0,53,1,40,12,0
1785356397.760,82.7,4744,215.0,1531,4,1.0,14.0,25.0,8.0,53,1,39,13,0
1785356399.764,88.6,4768,222.0,1531,4,4.0,14.0,41.0,14.0,53,2,38,13,0
1785356401.896,87.6,4806,196.0,1531,4,3.0,11.0,28.0,12.0,53,1,38,14,0
1785356404.019,83.5,4830,213.0,1531,4,2.0,15.0,33.0,7.0,53,1,39,13,0
1785356406.173,74.7,4853,241.0,1531,4,1.0,7.0,22.0,5.0,53,2,35,16,0
1785356408.859,87.1,4893,294.0,1531,4,0.0,35.0,28.0,12.0,53,1,41,11,0
1785356410.938,92.3,4938,273.0,1531,4,1.0,35.0,42.0,6.0,53,1,38,14,0
1785356412.867,89.9,4939,232.0,1531,4,2.0,28.0,45.0,9.0,53,1,39,13,0
1785356414.930,83.7,4927,166.0,1531,4,3.0,18.0,30.0,12.0,53,1,40,12,0
1785356417.205,80.1,4944,182.0,1531,4,2.0,17.0,37.0,11.0,53,1,34,18,0
1785356419.067,84.8,4973,315.0,1531,4,0.0,17.0,27.0,7.0,53,1,41,11,0
1785356421.180,74.5,5009,117.0,1532,4,1.0,19.0,23.0,11.0,53,1,39,13,0
1785356423.318,92.1,5042,264.0,1531,4,0.0,19.0,16.0,9.0,53,1,28,24,0
