ts,host_cpu_pct,mem_used_mb,backend_cpu,backend_rss_mb,backend_procs,mock_cpu,harness_cpu,pg_cpu,front_cpu,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_lock_waits
1785348585.260,5.2,2540,0.0,1344,4,0.0,0.0,0.0,0.0,31,1,30,0,0
1785348587.227,22.6,2609,0.0,1344,4,1.0,0.0,1.0,1.0,37,10,17,10,0
1785348589.316,94.1,3046,120.0,1408,4,0.0,75.0,18.0,27.0,49,5,25,19,0
1785348592.083,96.0,3398,183.0,1346,4,0.0,43.0,34.0,27.0,50,12,13,25,0
1785348594.529,98.5,3566,260.0,1353,4,1.0,37.0,54.0,20.0,52,3,14,35,0
1785348596.387,89.7,3628,317.0,1354,4,0.0,17.0,17.0,4.0,53,6,20,27,0
1785348598.471,89.9,3660,315.0,1362,4,2.0,12.0,39.0,8.0,53,9,17,27,0
1785348600.646,89.0,3693,309.0,1362,4,2.0,8.0,32.0,7.0,53,12,27,14,3
1785348602.389,90.6,3733,283.0,1389,4,2.0,11.0,24.0,4.0,53,9,29,15,3
1785348604.354,83.3,3799,242.0,1413,4,3.0,9.0,36.0,9.0,53,10,24,19,5
1785348606.471,85.6,3879,326.0,1436,4,1.0,8.0,56.0,2.0,58,16,15,27,11
1785348608.896,88.0,3927,300.0,1456,4,4.0,15.0,78.0,7.0,58,12,19,27,10
1785348611.347,84.0,4009,287.0,1462,4,7.0,29.0,67.0,5.0,58,17,20,21,10
1785348613.631,86.4,4105,343.0,1464,4,2.0,17.0,39.0,6.0,58,15,25,18,12
1785348615.719,78.1,4171,249.0,1466,4,1.0,21.0,77.0,2.0,58,17,19,22,16
1785348617.915,86.7,4217,215.0,1469,4,0.0,10.0,65.0,8.0,58,12,16,30,10
1785348620.099,83.5,4254,265.0,1472,4,2.0,4.0,71.0,1.0,58,12,20,26,8
1785348622.161,73.1,4289,241.0,1475,4,7.0,15.0,58.0,4.0,58,14,23,21,11
1785348624.198,81.5,4312,290.0,1476,4,3.0,14.0,49.0,4.0,58,10,22,26,9
1785348626.320,86.6,4376,220.0,1477,4,4.0,18.0,46.0,8.0,58,9,21,28,7
1785348628.537,87.7,4401,298.0,1480,4,0.0,12.0,66.0,5.0,58,12,19,27,8
1785348630.906,83.6,4374,248.0,1482,4,1.0,13.0,60.0,5.0,58,12,19,27,9
1785348633.005,83.6,4415,288.0,1484,4,5.0,14.0,41.0,2.0,58,10,21,27,8
1785348635.406,76.2,4346,215.0,1484,4,4.0,13.0,48.0,6.0,58,10,14,34,6
1785348637.924,90.4,4348,285.0,1484,4,6.0,21.0,74.0,10.0,58,14,21,23,9
1785348640.439,84.6,4386,295.0,1484,4,3.0,19.0,68.0,9.0,58,11,22,25,9
1785348642.609,86.6,4383,290.0,1485,4,2.0,15.0,61.0,10.0,58,16,24,18,14
1785348644.646,88.2,4393,327.0,1486,4,3.0,10.0,41.0,4.0,60,20,26,14,17
1785348646.860,77.5,4458,243.0,1492,4,0.0,17.0,26.0,8.0,60,21,24,15,19
1785348649.161,89.5,4517,274.0,1492,4,1.0,15.0,57.0,7.0,60,23,28,9,20
1785348651.397,88.9,4546,266.0,1493,4,1.0,14.0,81.0,9.0,59,7,24,28,6
1785348653.867,81.3,4509,258.0,1493,4,3.0,10.0,65.0,5.0,59,7,27,25,5
1785348656.001,83.5,4561,257.0,1495,4,3.0,9.0,36.0,2.0,61,10,24,27,6
1785348658.093,85.9,4586,329.0,1495,4,0.0,8.0,28.0,6.0,67,15,22,30,7
1785348660.724,79.1,4614,291.0,1495,4,1.0,9.0,42.0,6.0,68,13,25,30,6
