ts,host_cpu_pct,mem_used_mb,backend_cpu,backend_rss_mb,backend_procs,mock_cpu,harness_cpu,pg_cpu,front_cpu,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_lock_waits
1785348963.513,3.0,3145,0.0,1664,4,0.0,0.0,0.0,0.0,59,1,43,15,0
1785348966.501,39.3,3274,1.0,1664,4,0.0,0.0,1.0,11.0,59,1,43,15,0
1785348969.736,95.7,3966,123.0,1665,4,0.0,238.0,19.0,34.0,90,26,10,54,0
1785348971.997,97.2,4161,384.0,1665,4,1.0,37.0,77.0,15.0,92,21,10,61,0
1785348974.435,93.0,4265,275.0,1665,4,0.0,16.0,67.0,3.0,95,24,14,57,9
1785348977.229,77.8,4272,419.0,1665,4,0.0,11.0,101.0,3.0,95,20,14,61,14
1785348979.600,83.5,4304,432.0,1665,4,1.0,12.0,45.0,2.0,95,25,11,59,22
1785348982.188,77.6,4333,425.0,1665,4,0.0,4.0,34.0,2.0,97,32,6,59,18
1785348985.050,88.0,4409,382.0,1665,4,1.0,19.0,61.0,9.0,99,31,15,53,24
1785348987.914,86.6,4495,448.0,1665,4,5.0,23.0,76.0,4.0,99,25,13,61,18
1785348990.356,88.6,4547,414.0,1664,4,1.0,13.0,59.0,2.0,97,37,18,42,27
1785348992.891,84.6,4543,401.0,1665,4,1.0,15.0,101.0,5.0,97,47,16,34,41
1785348995.608,81.8,4615,319.0,1667,4,5.0,16.0,79.0,3.0,97,45,20,32,41
1785348998.290,93.7,4681,371.0,1668,4,6.0,21.0,84.0,6.0,97,36,14,47,32
1785349001.151,91.5,4717,351.0,1672,4,1.0,19.0,97.0,7.0,97,38,13,46,32
1785349003.909,90.3,4710,393.0,1673,4,11.0,22.0,94.0,2.0,97,37,12,48,32
1785349006.460,91.6,4618,361.0,1674,4,10.0,25.0,70.0,3.0,97,40,10,47,36
1785349009.530,88.3,4681,378.0,1677,4,1.0,14.0,86.0,5.0,97,56,15,26,52
1785349012.570,90.7,4729,412.0,1677,4,2.0,16.0,85.0,5.0,97,38,7,52,36
1785349015.184,92.4,4769,399.0,1678,4,4.0,18.0,79.0,7.0,97,39,9,49,34
1785349018.437,88.5,4801,387.0,1686,4,9.0,25.0,90.0,6.0,97,40,6,51,36
1785349021.163,91.3,4849,433.0,1686,4,7.0,30.0,82.0,3.0,97,41,10,46,33
1785349023.863,85.2,4821,424.0,1687,4,0.0,7.0,74.0,3.0,97,32,16,49,26
1785349026.758,83.8,4857,422.0,1687,4,1.0,11.0,79.0,2.0,98,29,11,58,24
1785349029.272,90.1,4911,396.0,1687,4,3.0,13.0,92.0,3.0,0,0,0,0,0
1785349031.875,81.9,4819,400.0,1688,4,2.0,15.0,87.0,2.0,0,0,0,0,0
1785349034.607,87.1,4867,397.0,1688,4,1.0,19.0,43.0,4.0,0,0,0,0,0
1785349036.998,83.0,4869,429.0,1688,4,1.0,9.0,62.0,0.0,0,0,0,0,0
1785349039.431,66.7,4823,293.0,1689,4,0.0,4.0,18.0,0.0,0,0,0,0,0
