ts,cpu_pct,mem_used_mb,uvicorn_procs,uvicorn_rss_mb,uvicorn_cpu_pct,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_waiting
1785347009.893,28.4,5911,1,28,0.3,11,1,10,0,0
1785347011.022,32.4,5933,1,28,0.3,11,1,10,0,0
1785347012.205,38.8,5957,1,28,0.3,11,1,10,0,0
1785347013.329,31.1,5965,1,28,0.3,11,1,9,1,0
1785347014.464,58.9,5988,1,28,0.3,11,1,9,1,0
1785347015.585,54.9,5993,1,28,0.2,12,1,9,2,0
1785347016.707,53.9,6000,1,28,0.2,12,2,10,0,0
1785347017.869,50.9,6008,1,28,0.2,13,1,11,1,0
1785347018.997,31.2,6015,1,28,0.2,13,1,12,0,0
1785347020.137,48.1,6026,1,28,0.2,13,1,11,1,0
1785347021.225,45.8,6028,1,28,0.2,13,1,11,1,0
1785347022.313,41.6,6028,1,28,0.2,13,1,11,1,0
1785347023.414,32.9,5994,1,28,0.2,13,1,12,0,0
1785347024.486,28.9,5985,1,28,0.2,13,1,12,0,0
