ts,cpu_pct,mem_used_mb,uvicorn_procs,uvicorn_rss_mb,uvicorn_cpu_pct,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_waiting
1785347101.104,31.5,8258,1,28,0.1,28,1,27,0,0
1785347102.192,35.0,8310,1,28,0.1,28,1,27,0,0
1785347103.295,73.3,8377,1,28,0.1,28,1,27,0,0
1785347104.397,60.2,8372,1,28,0.1,28,1,27,0,0
1785347105.564,77.4,8391,1,28,0.1,35,9,12,14,7
1785347106.696,83.1,8458,1,28,0.1,35,5,7,23,4
1785347107.836,82.1,8496,1,28,0.1,35,5,5,25,4
1785347108.932,80.8,8539,1,28,0.1,35,8,6,21,7
1785347110.053,84.5,8541,1,28,0.1,45,7,9,29,5
1785347111.179,84.3,8561,1,28,0.1,45,7,25,13,6
1785347112.320,86.4,8602,1,28,0.1,46,13,16,17,12
1785347113.550,86.4,8629,1,28,0.1,46,7,17,22,6
1785347114.655,86.3,8625,1,28,0.1,46,6,21,19,3
1785347115.769,84.4,8633,1,28,0.1,46,7,20,19,3
1785347116.895,84.6,8667,1,28,0.1,46,8,19,19,4
1785347118.019,92.6,8448,1,28,0.1,48,4,22,22,0
1785347119.104,92.4,8466,1,28,0.1,60,13,21,26,7
1785347120.226,84.3,8504,1,28,0.1,60,6,18,36,4
1785347121.367,72.1,8520,1,28,0.1,60,12,15,33,3
1785347122.451,79.6,8535,1,28,0.1,60,9,24,27,6
1785347123.566,63.0,8547,1,28,0.1,60,9,27,24,3
1785347124.654,78.8,8581,1,28,0.1,60,6,31,23,4
1785347125.754,74.3,8585,1,28,0.1,58,11,30,17,8
1785347126.838,78.0,8599,1,28,0.1,60,5,21,34,4
1785347127.971,84.0,8620,1,28,0.1,60,5,27,28,4
1785347129.061,82.3,8629,1,28,0.1,60,2,32,26,1
1785347130.144,77.9,8637,1,28,0.1,60,3,34,23,2
1785347131.233,78.8,8630,1,28,0.1,55,3,38,14,1
1785347132.332,76.8,8570,1,28,0.1,50,4,27,19,2
1785347133.410,78.7,8569,1,28,0.1,52,5,21,26,4
1785347134.491,72.8,8577,1,28,0.1,53,9,21,23,4
1785347135.566,76.5,8582,1,28,0.1,53,8,24,21,1
1785347136.642,68.4,8582,1,28,0.1,53,9,20,24,2
1785347137.725,62.3,8603,1,28,0.1,56,9,18,29,2
1785347138.814,69.7,8613,1,28,0.1,59,5,25,29,1
1785347139.889,71.1,8618,1,28,0.1,54,8,34,12,3
1785347140.984,76.4,8576,1,28,0.1,50,9,27,14,3
1785347142.063,77.6,8575,1,28,0.1,50,7,21,22,0
1785347143.164,71.2,8580,1,28,0.1,52,13,20,19,6
1785347144.247,75.9,8594,1,28,0.1,52,10,20,22,2
1785347145.326,61.8,8609,1,28,0.1,59,15,22,22,8
1785347146.409,64.1,8620,1,28,0.1,58,8,18,31,6
1785347147.504,79.1,8636,1,28,0.1,60,14,22,24,5
1785347148.598,68.1,8653,1,28,0.1,60,8,31,21,4
1785347149.685,78.8,8637,1,28,0.1,58,7,32,19,0
1785347150.770,68.0,8647,1,28,0.1,58,6,32,20,1
1785347151.861,75.7,8652,1,28,0.1,63,7,26,30,1
1785347153.009,85.0,8659,1,28,0.1,68,8,32,28,1
1785347154.088,83.7,8578,1,28,0.1,55,7,35,13,0
1785347155.192,79.5,8557,1,28,0.1,54,7,33,14,1
1785347156.327,80.0,8563,1,28,0.1,53,8,29,16,1
1785347157.474,98.0,8533,1,28,0.1,53,9,30,14,0
1785347158.586,87.8,8539,1,28,0.1,53,7,22,24,0
1785347159.662,81.7,8555,1,28,0.1,53,6,32,15,0
1785347160.748,79.6,8565,1,28,0.1,52,4,31,17,1
1785347161.838,83.4,8576,1,28,0.1,52,3,32,17,0
1785347162.927,83.7,8587,1,28,0.1,52,6,30,16,0
1785347164.027,76.7,8596,1,28,0.1,52,6,27,19,0
1785347165.099,51.4,8598,1,28,0.1,52,10,32,10,0
1785347166.183,62.1,8551,1,28,0.1,50,1,39,10,0
1785347167.268,33.2,8490,1,28,0.1,50,1,39,10,0
1785347168.338,43.4,8489,1,28,0.1,50,1,39,10,0
