ts,cpu_pct,mem_used_mb,uvicorn_procs,uvicorn_rss_mb,uvicorn_cpu_pct,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_waiting
1785347295.241,15.0,3671,1,28,0.1,61,1,43,17,0
1785347296.336,45.3,3702,1,28,0.1,61,1,43,17,0
1785347297.435,41.2,3757,1,28,0.1,61,1,43,17,0
1785347298.560,79.2,3744,1,28,0.1,62,3,30,29,1
1785347299.637,77.0,3777,1,28,0.1,61,1,35,25,0
1785347300.793,65.6,3820,1,28,0.1,0,0,0,0,0
1785347301.876,80.1,3865,1,28,0.1,0,0,0,0,0
1785347302.964,72.0,3918,1,28,0.1,0,0,0,0,0
1785347304.036,67.3,3987,1,28,0.1,0,0,0,0,0
1785347305.112,80.8,4057,1,28,0.1,0,0,0,0,0
1785347306.182,73.1,4065,1,28,0.1,0,0,0,0,0
1785347307.256,66.2,4074,1,28,0.1,0,0,0,0,0
1785347308.332,77.2,4080,1,28,0.1,0,0,0,0,0
1785347309.402,65.9,4081,1,28,0.1,0,0,0,0,0
1785347310.469,59.3,4074,1,28,0.1,0,0,0,0,0
1785347311.543,76.2,3781,1,28,0.1,0,0,0,0,0
1785347312.635,59.8,3759,1,28,0.1,0,0,0,0,0
1785347313.747,61.9,3751,1,28,0.1,0,0,0,0,0
1785347314.818,64.2,3743,1,28,0.1,0,0,0,0,0
1785347315.894,65.1,3686,1,28,0.1,93,36,11,46,1
1785347316.992,55.7,3626,1,28,0.1,87,38,23,26,1
1785347318.080,63.7,3638,1,28,0.1,87,37,15,35,2
1785347319.166,66.4,3629,1,28,0.1,87,41,12,34,0
1785347320.241,59.3,3513,1,28,0.1,87,44,17,26,2
1785347321.325,46.3,3522,1,28,0.1,87,53,14,20,1
1785347322.416,44.3,3524,1,28,0.1,87,49,14,24,0
1785347323.495,56.1,3240,1,28,0.1,87,50,14,23,1
1785347324.605,50.6,3237,1,28,0.1,87,31,11,45,3
1785347325.695,67.4,3246,1,28,0.1,93,28,11,54,2
1785347326.816,70.0,3261,1,28,0.1,90,27,25,38,2
1785347327.901,74.2,3249,1,28,0.1,89,31,7,51,3
1785347329.003,67.4,3251,1,28,0.1,89,31,13,45,4
1785347330.095,68.3,3272,1,28,0.1,91,43,5,43,5
1785347331.191,67.8,3335,1,28,0.1,0,0,0,0,0
1785347332.283,64.0,3332,1,28,0.1,97,47,23,27,1
1785347333.373,58.6,3300,1,28,0.1,95,49,22,24,0
1785347334.448,56.6,3288,1,28,0.1,95,56,20,19,0
1785347335.535,36.4,3242,1,28,0.1,91,54,18,19,3
1785347336.624,55.0,3239,1,28,0.1,93,55,16,22,0
1785347337.737,60.9,3248,1,28,0.1,95,35,18,42,2
1785347338.816,71.9,3274,1,28,0.1,95,35,18,42,0
1785347339.912,56.6,3249,1,28,0.1,90,37,17,36,4
1785347341.003,65.4,3250,1,28,0.1,92,39,9,44,2
1785347342.092,67.8,3257,1,28,0.1,92,44,8,40,1
1785347343.175,64.3,3301,1,28,0.1,0,0,0,0,0
1785347344.248,61.4,3324,1,28,0.1,0,0,0,0,0
1785347345.326,62.1,3334,1,28,0.1,0,0,0,0,0
1785347346.397,61.3,3343,1,28,0.1,0,0,0,0,0
1785347347.484,62.6,3344,1,28,0.1,100,28,25,47,1
