ts,cpu_pct,mem_used_mb,uvicorn_procs,uvicorn_rss_mb,uvicorn_cpu_pct,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_waiting
1785347189.625,29.3,8477,1,28,0.1,50,1,39,10,0
1785347190.706,31.5,8496,1,28,0.1,50,1,39,10,0
1785347191.793,56.1,8545,1,28,0.1,54,9,22,23,8
1785347192.869,72.2,8554,1,28,0.1,53,1,42,10,0
1785347193.967,69.4,8620,1,28,0.1,67,9,14,44,8
1785347195.067,85.4,8679,1,28,0.1,75,14,7,54,13
1785347196.203,83.9,8696,1,28,0.1,76,8,16,52,7
1785347197.319,92.7,8718,1,28,0.1,76,9,13,54,8
1785347198.440,81.5,8721,1,28,0.1,76,15,15,46,10
1785347199.533,83.2,8742,1,28,0.1,76,18,17,41,6
1785347200.702,89.0,8753,1,28,0.1,76,19,19,38,7
1785347201.873,99.6,8772,1,28,0.1,76,19,15,42,8
1785347202.999,90.4,8783,1,28,0.1,77,22,15,40,8
1785347204.166,80.4,8796,1,28,0.1,77,25,14,38,6
1785347205.298,83.4,8828,1,28,0.1,77,23,19,35,5
1785347206.423,82.7,8855,1,28,0.1,83,26,9,48,8
1785347207.549,87.8,8903,1,28,0.1,90,28,17,45,12
1785347208.710,85.5,8917,1,28,0.1,90,30,20,40,8
1785347209.860,84.5,8943,1,28,0.1,90,27,17,46,6
1785347210.962,92.5,8967,1,28,0.1,90,23,26,41,5
1785347212.032,85.8,8953,1,28,0.1,84,27,9,48,4
1785347213.217,84.3,8976,1,28,0.1,91,26,18,47,4
1785347214.381,88.5,8995,1,28,0.1,91,25,23,43,5
1785347215.464,85.5,8952,1,28,0.1,82,21,22,39,2
1785347216.556,89.1,8898,1,28,0.1,76,20,16,40,1
1785347217.633,84.2,8899,1,28,0.1,76,21,10,45,3
1785347218.708,82.9,8910,1,28,0.1,81,21,14,46,4
1785347219.804,81.3,8920,1,28,0.1,81,21,13,47,3
1785347220.909,83.7,8925,1,28,0.1,81,21,14,46,4
1785347222.027,82.8,8934,1,28,0.1,81,21,13,47,1
1785347223.131,84.0,8942,1,28,0.1,81,21,18,42,0
1785347224.228,83.3,8951,1,28,0.1,81,18,18,45,4
1785347225.320,81.1,8964,1,28,0.1,81,17,10,54,5
1785347226.470,82.6,8975,1,28,0.1,81,15,13,53,4
1785347227.545,89.2,8995,1,28,0.1,81,16,17,48,6
1785347228.664,84.5,9005,1,28,0.1,91,12,22,57,3
1785347229.824,86.9,9041,1,28,0.1,93,20,12,61,10
1785347230.999,90.4,9062,1,28,0.1,93,16,20,57,6
1785347232.131,86.9,9077,1,28,0.1,93,27,28,38,4
1785347233.217,84.6,9089,1,28,0.1,87,21,20,46,1
1785347234.365,84.2,9120,1,28,0.1,87,21,15,51,2
1785347235.530,99.3,9125,1,28,0.1,87,20,19,48,2
1785347236.668,98.5,9104,1,28,0.1,87,19,18,50,2
1785347237.780,81.1,9108,1,28,0.1,89,19,14,55,3
1785347238.886,81.7,9130,1,28,0.1,89,29,18,42,8
1785347240.027,81.6,9163,1,28,0.1,91,22,14,54,5
1785347241.173,92.7,9189,1,28,0.1,95,26,20,49,6
1785347242.356,88.7,9211,1,28,0.1,97,22,24,51,3
1785347243.512,95.5,9237,1,28,0.1,95,20,33,42,2
1785347244.647,88.8,9234,1,28,0.1,96,22,36,38,2
1785347245.805,93.8,9236,1,28,0.1,96,28,23,45,8
1785347246.978,100.0,9216,1,28,0.1,88,19,37,32,2
1785347248.135,98.3,9106,1,28,0.1,87,20,29,38,1
1785347249.221,93.8,9111,1,28,0.1,87,20,28,39,0
1785347250.332,93.9,9116,1,28,0.1,87,23,32,32,0
1785347251.439,98.2,9122,1,28,0.1,87,21,26,40,0
1785347252.534,99.6,9121,1,28,0.1,87,22,24,41,3
1785347253.617,96.8,9121,1,28,0.1,87,20,36,31,2
1785347254.713,92.2,9119,1,28,0.1,87,19,34,34,3
1785347255.843,94.0,9123,1,28,0.1,87,20,34,33,4
1785347256.943,98.2,9113,1,28,0.1,85,24,26,35,1
1785347258.131,99.1,9098,1,28,0.1,86,22,34,30,1
1785347259.212,96.2,9082,1,28,0.1,83,20,30,33,3
1785347260.303,95.6,9058,1,28,0.1,81,14,35,32,1
1785347261.439,90.7,9067,1,28,0.1,84,25,32,27,1
1785347262.550,99.8,9076,1,28,0.1,84,20,32,32,0
1785347263.632,96.4,9082,1,28,0.1,84,22,32,30,2
1785347264.742,88.4,9088,1,28,0.1,83,24,36,23,0
1785347265.874,89.5,9071,1,28,0.1,80,19,36,25,0
1785347266.979,98.9,9040,1,28,0.1,77,22,38,17,1
1785347268.096,96.8,9039,1,28,0.1,76,15,41,20,1
1785347269.231,78.3,9012,1,28,0.1,73,12,40,21,0
1785347270.307,88.7,8971,1,28,0.1,67,7,43,17,0
1785347271.407,98.4,8907,1,28,0.1,61,1,43,17,0
1785347272.644,85.6,8886,1,28,0.1,61,1,43,17,0
1785347273.744,94.4,3219,1,28,0.1,61,1,43,17,0
