ts,host_cpu_pct,mem_used_mb,backend_cpu,backend_rss_mb,backend_procs,mock_cpu,harness_cpu,pg_cpu,front_cpu,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_lock_waits
1785356909.550,6.2,2611,0.0,1374,4,0.0,0.0,0.0,0.0,32,1,31,0,0
1785356911.865,22.1,2688,0.0,1374,4,1.0,0.0,2.0,3.0,32,1,31,0,0
1785356914.055,91.7,3175,124.0,1374,4,1.0,95.0,30.0,13.0,38,6,7,25,0
1785356916.403,96.8,3327,331.0,1376,4,0.0,26.0,48.0,27.0,42,6,13,23,0
1785356918.192,91.0,3402,331.0,1378,4,0.0,15.0,4.0,1.0,49,6,25,18,0
1785356919.955,86.3,3458,317.0,1411,4,0.0,2.0,3.0,1.0,49,11,9,29,0
1785356922.030,79.3,3520,312.0,1450,4,0.0,9.0,13.0,13.0,50,6,13,31,0
1785356924.474,77.5,3565,353.0,1474,4,1.0,11.0,23.0,4.0,70,11,16,43,1
1785356926.614,89.3,3725,343.0,1483,4,7.0,15.0,60.0,7.0,79,15,24,40,2
1785356929.147,86.7,3816,319.0,1488,4,6.0,22.0,122.0,6.0,74,7,36,31,0
1785356931.395,93.5,3894,322.0,1495,4,5.0,34.0,94.0,6.0,80,11,19,50,0
1785356933.756,82.0,3956,352.0,1505,4,0.0,16.0,66.0,3.0,80,7,43,30,0
1785356935.957,89.2,4029,347.0,1507,4,4.0,18.0,83.0,4.0,66,2,17,47,0
1785356938.034,84.9,4033,328.0,1512,4,6.0,17.0,55.0,3.0,67,10,18,39,0
1785356940.452,88.6,4024,330.0,1523,4,0.0,13.0,88.0,5.0,62,4,28,30,0
1785356943.042,84.8,4013,352.0,1528,4,8.0,15.0,77.0,3.0,65,7,21,37,0
1785356945.199,92.0,3975,371.0,1531,4,8.0,28.0,60.0,7.0,64,10,14,40,0
1785356947.726,89.1,3993,316.0,1533,4,4.0,17.0,91.0,4.0,63,5,17,41,0
1785356949.960,86.2,4038,382.0,1534,4,0.0,10.0,60.0,2.0,72,11,12,49,0
1785356952.257,85.3,4104,352.0,1537,4,2.0,16.0,76.0,4.0,64,2,40,22,1
1785356954.698,90.5,4086,320.0,1538,4,9.0,18.0,77.0,8.0,63,9,28,26,3
1785356956.617,93.3,4013,294.0,1539,4,1.0,20.0,62.0,5.0,59,3,30,26,0
