ts,host_cpu_pct,mem_used_mb,backend_cpu,backend_rss_mb,backend_procs,mock_cpu,harness_cpu,pg_cpu,front_cpu,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_lock_waits
1785357266.152,77.9,3977,438.0,1629,4,6.0,12.0,83.0,0.0,89,13,33,43,9
1785357268.572,73.4,3881,371.0,1629,4,4.0,18.0,85.0,0.0,92,20,28,44,17
1785357270.927,78.3,3910,423.0,1629,4,6.0,17.0,112.0,0.0,92,2,31,59,0
1785357273.288,75.9,3915,427.0,1629,4,5.0,16.0,91.0,0.0,90,5,27,58,1
1785357275.707,76.6,3924,425.0,1629,4,5.0,13.0,79.0,0.0,90,9,36,45,6
1785357278.124,78.0,3952,434.0,1629,4,2.0,13.0,119.0,0.0,90,18,17,55,13
1785357280.378,78.1,3970,434.0,1629,4,2.0,14.0,91.0,0.0,87,15,32,40,11
1785357282.736,74.7,3979,403.0,1629,4,0.0,7.0,83.0,1.0,89,5,34,50,2
1785357284.942,82.4,3896,406.0,1630,4,2.0,11.0,68.0,2.0,86,6,36,44,1
1785357287.437,79.4,3898,376.0,1630,4,0.0,13.0,94.0,4.0,80,6,31,43,3
1785357289.764,67.2,3873,322.0,1630,4,2.0,9.0,70.0,8.0,80,2,39,39,0
1785357291.601,77.0,3804,364.0,1630,4,2.0,9.0,47.0,0.0,69,1,43,25,0
1785357293.499,31.8,3805,74.0,1630,4,0.0,5.0,5.0,1.0,69,1,43,25,0
1785357295.328,34.0,3217,113.0,1630,4,1.0,0.0,4.0,0.0,69,1,44,24,0
1785357297.248,14.8,3217,2.0,1630,4,0.0,17.0,0.0,0.0,69,1,44,24,0
