ts,host_cpu_pct,mem_used_mb,backend_cpu,backend_rss_mb,backend_procs,mock_cpu,harness_cpu,pg_cpu,front_cpu,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_lock_waits
1785350507.606,7.8,2473,0.0,1305,4,0.0,0.0,0.0,0.0,28,1,27,0,0
1785350509.118,26.4,2509,1.0,1305,4,0.0,0.0,1.0,0.0,28,2,24,2,0
1785350510.691,61.0,2565,115.0,1308,4,0.0,29.0,9.0,0.0,38,1,37,0,0
1785350512.409,61.6,2598,191.0,1312,4,0.0,29.0,23.0,0.0,50,9,20,21,0
1785350514.156,76.3,2679,313.0,1327,4,1.0,4.0,60.0,0.0,50,7,23,20,0
1785350515.917,69.4,2712,277.0,1335,4,0.0,2.0,30.0,0.0,50,5,25,20,1
1785350517.660,51.3,2744,189.0,1361,4,0.0,1.0,5.0,0.0,51,9,28,14,0
1785350519.405,74.5,2791,275.0,1392,4,0.0,3.0,36.0,0.0,51,6,26,19,1
1785350521.142,55.7,2823,208.0,1424,4,1.0,1.0,7.0,0.0,51,9,25,17,1
1785350522.869,71.8,2866,304.0,1453,4,1.0,2.0,46.0,0.0,51,13,20,18,4
1785350524.667,84.4,2905,290.0,1471,4,0.0,2.0,77.0,0.0,63,16,23,24,3
1785350526.504,69.7,2960,248.0,1483,4,0.0,4.0,46.0,0.0,63,7,23,33,0
1785350528.370,79.7,2988,318.0,1488,4,0.0,5.0,97.0,0.0,50,3,37,10,0
1785350530.155,79.3,2977,276.0,1489,4,0.0,10.0,81.0,0.0,50,12,28,10,5
1785350531.977,72.5,2989,234.0,1498,4,0.0,7.0,60.0,0.0,51,4,25,22,0
1785350533.868,71.6,2998,269.0,1516,4,0.0,6.0,83.0,0.0,51,6,24,21,5
1785350535.721,73.5,3025,256.0,1540,4,1.0,6.0,61.0,0.0,51,2,21,28,1
1785350537.500,76.8,3034,322.0,1542,4,0.0,8.0,65.0,0.0,55,5,18,32,0
1785350539.321,80.1,3060,310.0,1543,4,0.0,6.0,67.0,0.0,55,7,22,26,0
1785350541.232,78.8,3080,305.0,1546,4,0.0,6.0,84.0,0.0,57,4,23,30,2
1785350543.079,78.9,3106,346.0,1550,4,0.0,4.0,77.0,0.0,57,9,21,27,4
1785350544.825,72.9,3125,257.0,1553,4,1.0,3.0,37.0,0.0,57,9,22,26,6
1785350546.587,61.9,3128,218.0,1553,4,0.0,4.0,54.0,0.0,57,10,29,18,6
1785350548.391,62.9,3140,223.0,1553,4,0.0,4.0,66.0,0.0,57,5,29,23,3
1785350550.263,82.8,3153,302.0,1553,4,0.0,6.0,76.0,0.0,57,4,25,27,1
1785350552.048,67.7,3155,275.0,1553,4,1.0,5.0,33.0,0.0,57,4,30,23,1
1785350553.960,75.4,3163,290.0,1553,4,0.0,6.0,76.0,0.0,57,7,34,16,4
1785350555.763,76.3,3151,308.0,1554,4,1.0,7.0,70.0,0.0,54,9,23,22,7
1785350557.487,61.6,3130,224.0,1555,4,0.0,4.0,42.0,0.0,55,9,24,22,2
1785350559.238,71.9,3143,289.0,1555,4,0.0,6.0,43.0,0.0,55,13,24,18,7
1785350561.028,52.9,3144,184.0,1555,4,0.0,1.0,25.0,0.0,55,7,23,25,3
1785350562.912,74.4,3136,309.0,1556,4,0.0,4.0,59.0,0.0,56,7,32,17,4
1785350564.773,75.4,3145,299.0,1556,4,1.0,5.0,79.0,0.0,59,3,36,20,0
1785350566.620,79.9,3153,322.0,1556,4,0.0,8.0,63.0,0.0,53,2,34,17,0
1785350568.579,81.6,3097,332.0,1556,4,0.0,10.0,92.0,0.0,53,7,34,12,5
1785350570.539,81.7,3104,333.0,1556,4,0.0,9.0,98.0,0.0,53,3,30,20,2
1785350572.279,77.6,3099,320.0,1556,4,1.0,8.0,57.0,0.0,53,10,29,14,7
1785350574.017,64.3,3101,241.0,1556,4,0.0,3.0,58.0,0.0,53,11,31,11,9
1785350575.823,72.4,3099,233.0,1556,4,0.0,3.0,62.0,0.0,53,5,35,13,4
1785350577.646,66.8,3091,241.0,1556,4,0.0,10.0,61.0,0.0,52,10,33,9,9
1785350579.396,62.8,3071,222.0,1556,4,0.0,5.0,39.0,0.0,52,8,34,10,7
1785350581.135,67.2,3046,242.0,1556,4,1.0,5.0,41.0,0.0,52,2,32,18,1
1785350582.797,59.4,3045,197.0,1556,4,0.0,4.0,41.0,0.0,50,7,36,7,6
1785350584.421,25.0,2957,24.0,1556,4,0.0,2.0,6.0,0.0,50,1,42,7,0
1785350586.116,42.9,2969,47.0,1556,4,0.0,3.0,3.0,0.0,50,1,42,7,0
1785350587.797,23.6,2963,1.0,1556,4,1.0,0.0,0.0,0.0,50,1,42,7,0
1785350589.458,22.5,2966,2.0,1556,4,0.0,0.0,1.0,0.0,50,1,42,7,0
1785350591.158,28.7,2905,1.0,1556,4,0.0,0.0,0.0,0.0,50,1,42,7,0
